,dataset,preprocessing,clf_type,params,accuracy,dif_accuracy,balanced_accuracy,dif_balanced_accuracy,recall,dif_recall,precision,dif_precision,fpr,dif_fpr,selection_rate,dif_selection_rate,dif_statistical_parity,dif_equal_opp,dif_avg_odds,disparate_impacto_ratio
0,Compas,DispImpact,Decision Tree,"{'criterion': 'gini', 'splitter': 'best'}",0.6123876011637952,0.029601068898196314,0.6027535017496717,0.029178786315168792,0.5060142185529182,0.06926501573999491,0.5803177538577763,0.08826091848485144,0.30050721505357497,0.044521410274053055,0.39304415371085655,0.06692683298677429,0.06692683298677429,0.06926501573999491,0.05171344867144122,1.1960315894241118
1,Compas,DispImpact,Decision Tree,"{'criterion': 'gini', 'splitter': 'random'}",0.6104377404395612,0.031855791912116606,0.6019966481116524,0.029915526486956022,0.5171530405534532,0.05635499554611127,0.5752273806833194,0.08100595984770893,0.3131597443301485,0.04333407812205272,0.40501334645379494,0.06152313758041087,0.06152313758041087,0.05635499554611127,0.045153229942146565,1.1775513519683087
2,Compas,DispImpact,Decision Tree,"{'criterion': 'entropy', 'splitter': 'best'}",0.6169811832435176,0.014556771453134065,0.6078575844513187,0.01966471956477587,0.5162127814088598,0.07093271421093267,0.5848052949981841,0.08517139928829454,0.3004976125062227,0.042038017832574597,0.39763386163853387,0.07141734178626835,0.07141734178626835,0.07093271421093267,0.05511475198666593,1.2087298511998195
3,Compas,DispImpact,Decision Tree,"{'criterion': 'entropy', 'splitter': 'random'}",0.6140554236191554,0.030050452220730585,0.6059618050913883,0.025890206392361993,0.5245738256316171,0.07715380925006551,0.5790370742446278,0.08839961825993162,0.31265021544884036,0.05135321698007467,0.4080723769085042,0.07980215784176299,0.07980215784176299,0.07715380925006551,0.06392940852267281,1.2279901199562226
4,Compas,DispImpact,KNN,{'n_neighbors': 1},0.5944270322833091,0.03367171894696867,0.589297363093175,0.034332720852058504,0.5378549860490005,0.0683587708940365,0.5511980640771892,0.08522517739606791,0.35926025986265014,0.05771324694548412,0.43966841132647094,0.06630453717075127,0.06630453717075127,0.0683587708940365,0.05542196031485265,1.1722225272017475
5,Compas,DispImpact,KNN,{'n_neighbors': 3},0.6258849531808726,0.040382739524529476,0.6199271384645554,0.04731661636090041,0.5601096969002026,0.07453178644360574,0.5891058894463364,0.08764345689244286,0.32025541997109175,0.04989906021688292,0.4282526412031567,0.06763584620401387,0.06763584620401387,0.07453178644360574,0.049535811234534155,1.1809497370969115
6,Compas,DispImpact,KNN,{'n_neighbors': 5},0.6313136087338884,0.043401925202535864,0.6238203290091832,0.04174888008533887,0.5486650995680924,0.10262061104723755,0.5988846134756709,0.07579307584194231,0.3010244415497258,0.07846695835254562,0.41252881400583447,0.10949461668875893,0.10949461668875893,0.10262061104723755,0.09054378469989158,1.32855394269937
7,Compas,DispImpact,KNN,{'n_neighbors': 7},0.6452357615226967,0.02694416093891383,0.6368874384625733,0.023419219521373612,0.5529956427015251,0.11912644422719454,0.6183979891962339,0.06663649232195384,0.27922076577637844,0.08464686103631232,0.40250522041988057,0.12222096350472125,0.12222096350472125,0.11912644422719454,0.10188665263175345,1.3888657501218726
8,Compas,DispImpact,Logistic Regression,"{'C': 0.75, 'class_weight': None, 'n_jobs': -1}",0.6776643512151279,0.02298429685217105,0.6673582670651678,0.04324800087043786,0.5638181783434622,0.1374470602741014,0.6682342862166367,0.08453949780173628,0.22910164421312657,0.05808731498266352,0.37981934829014297,0.1182104777997524,0.1182104777997524,0.1374470602741014,0.09626730990102329,1.3986486196872498
9,Compas,DispImpact,Logistic Regression,"{'C': 0.75, 'class_weight': 'balanced', 'n_jobs': -1}",0.6634681021691378,0.03802318063560763,0.6619189442390836,0.04740022368720376,0.6463622291021672,0.15266363609020278,0.6214439304587943,0.08394291523739254,0.32252434062400004,0.08167048945171818,0.4683388798276777,0.13892228607566703,0.13892228607566703,0.15266363609020278,0.11716706277096052,1.372055073326897
10,Compas,DispImpact,Logistic Regression,"{'C': 1, 'class_weight': None, 'n_jobs': -1}",0.6755769580932973,0.029185621540585516,0.6657679818492029,0.04347497809091615,0.5672218400030579,0.1333754396123603,0.6633334943825997,0.07942897910579463,0.2356858763046516,0.0632443142893643,0.3849700334339321,0.12043916300697492,0.12043916300697492,0.1333754396123603,0.09788599846269558,1.3996147135976482
11,Compas,DispImpact,Logistic Regression,"{'C': 1, 'class_weight': 'balanced', 'n_jobs': -1}",0.6649972299812877,0.03392107911851191,0.6635633847685686,0.04350707127012447,0.6491466957153234,0.1507395576627203,0.6226822631415216,0.07996105647461747,0.32201992617818614,0.08483855599220332,0.46931129199096544,0.13854502373682406,0.13854502373682406,0.1507395576627203,0.11634352249602142,1.371523045250829
12,Compas,DispImpact,Logistic Regression,"{'C': 1.25, 'class_weight': None, 'n_jobs': -1}",0.6794733865125271,0.027632733525034835,0.6693461102381635,0.04474826638985898,0.5675362152658334,0.13680547670950843,0.6700262582182945,0.08609838995862476,0.2288439947895066,0.05659987438209387,0.3813482823946909,0.1174287930569613,0.1174287930569613,0.13680547670950843,0.095202797818442,1.392710642263419
13,Compas,DispImpact,Logistic Regression,"{'C': 1.25, 'class_weight': 'balanced', 'n_jobs': -1}",0.6672244799919417,0.033332959247197536,0.6653368465962094,0.044635439117333905,0.6463631846500784,0.13935308461671464,0.6263796607873668,0.08270808011851662,0.3156894914576595,0.07954164214362716,0.4645801775136468,0.1307462030257216,0.1307462030257216,0.13935308461671464,0.10772467772954457,1.3499387495112107
14,Compas,DispImpact,MLP,"{'hidden_layer_sizes': 5, 'max_iter': 5000}",0.6623662933275479,0.03211955087077371,0.6496361153117922,0.03034705972982247,0.5223215992049841,0.11548292274295802,0.5924688858267053,0.06634641571823414,0.22304936858139968,0.056108279049194534,0.3578469012594868,0.10653344259471789,0.10653344259471789,0.11548292274295802,0.08579560089607627,1.241553551555103
15,Compas,DispImpact,MLP,"{'hidden_layer_sizes': 8, 'max_iter': 5000}",0.6677846823776445,0.03093926676294092,0.6593869371243563,0.044010543167426884,0.574667469326912,0.12030278326214283,0.6499111614833184,0.09944717820067811,0.25589359507819964,0.05504225425911291,0.3994382479534792,0.0983613756770606,0.0983613756770606,0.12030278326214283,0.07786625296707841,1.31102711938989
16,Compas,DispImpact,MLP,"{'hidden_layer_sizes': 15, 'max_iter': 5000}",0.6690371957337838,0.027610761258228134,0.6614737909068364,0.04727657197214656,0.5854536941482247,0.1341433370342838,0.6473968204199018,0.10140202771175696,0.26250611233455157,0.0607569458003675,0.40793232631207843,0.10689998348374416,0.10689998348374416,0.1341433370342838,0.0868667650621372,1.3318501495579538
17,Compas,DispImpact,MLP,"{'hidden_layer_sizes': (10, 5), 'max_iter': 5000}",0.668063233909678,0.025331913217663073,0.6585229491991524,0.03997580859685691,0.5628693192676681,0.1316587130094185,0.6517099361966583,0.08198911870246266,0.24582342086936312,0.06159067376813412,0.3885941089644004,0.11598145379753891,0.11598145379753891,0.1316587130094185,0.0948694017005987,1.3775220231719147
