,dataset,preprocessing,clf_type,params,accuracy,dif_accuracy,balanced_accuracy,dif_balanced_accuracy,recall,dif_recall,precision,dif_precision,fpr,dif_fpr,selection_rate,dif_selection_rate,dif_statistical_parity,dif_equal_opp,dif_avg_odds,disparate_impacto_ratio
0,Compas,Massaging,Decision Tree,"{'criterion': 'gini', 'splitter': 'best'}",0.636883089713739,0.13882824550326012,0.5867042759144203,0.07242293584136006,0.41276041666666663,0.13766705636229387,0.4911152193269113,0.5668423451237751,0.23935186483782603,0.028436747384629268,0.3010471832977557,0.08814810992147185,0.08814810992147185,0.13766705636229387,0.06819058925687624,1.4313460363007295
1,Compas,Massaging,Decision Tree,"{'criterion': 'gini', 'splitter': 'random'}",0.6441192309033361,0.15388858629933236,0.5930224341816788,0.06420282989745794,0.4158869485294117,0.1350550701452129,0.5030280787411623,0.5613020559960314,0.22984208016605429,0.03496854090476492,0.29603751728840355,0.10533773103864782,0.10533773103864782,0.1350550701452129,0.07521804494111893,1.572034784882266
2,Compas,Massaging,Decision Tree,"{'criterion': 'entropy', 'splitter': 'best'}",0.6462060429023597,0.1327282157175024,0.5970074656083473,0.09454161898924823,0.42645067401960784,0.18350346624005248,0.5061072139568246,0.5812075039884144,0.23243574280291343,0.01503479226849252,0.30146656025662383,0.09804940679248467,0.09804940679248467,0.18350346624005248,0.08896184725080426,1.4570602304935931
3,Compas,Massaging,Decision Tree,"{'criterion': 'entropy', 'splitter': 'random'}",0.6469035839780568,0.1409799051960266,0.5946655660595279,0.09611701978284279,0.41355392156862736,0.1922205472147018,0.5073755455202649,0.5886476296653638,0.22422278944957133,0.03481723657242125,0.2915830172670956,0.10106229651532098,0.10106229651532098,0.1922205472147018,0.09610352743185896,1.562142753405947
4,Compas,Massaging,KNN,{'n_neighbors': 1},0.6214321965279849,0.13738952466264037,0.5776198610733563,0.05121031716929555,0.42570618872549026,0.11103833374353926,0.46714226333549513,0.5267509195630504,0.2704664665787776,0.018771890119049253,0.3256906644558172,0.08700916547796453,0.08700916547796453,0.11103833374353926,0.06351560091972278,1.3417448635016247
5,Compas,Massaging,KNN,{'n_neighbors': 3},0.6563650381022854,0.1483200220200534,0.6077850755705778,0.07408013553515731,0.43937500000000007,0.14989334645992286,0.5215806539684655,0.5587143841130938,0.22380484885884452,0.025661115376319016,0.3004947292161428,0.10895232393678164,0.10895232393678164,0.14989334645992286,0.07581321092476555,1.5394481435805298
6,Compas,Massaging,KNN,{'n_neighbors': 5},0.6668070401090961,0.1616335606616653,0.6112452960672046,0.07041695214116994,0.41864123774509804,0.15021781934531137,0.5422160668774753,0.590691124391913,0.19615064561068882,0.014668877553174151,0.2753007310524909,0.11850569415102721,0.11850569415102721,0.15021781934531137,0.07980086720414141,1.6399903283008705
7,Compas,Massaging,KNN,{'n_neighbors': 7},0.6754396194033031,0.16528996380607566,0.6174197032533807,0.06353964709963192,0.41629901960784316,0.1309509598818607,0.5599220633531331,0.5986328293142116,0.18145961310108177,0.02930842192782466,0.26500032930292383,0.11467580912712372,0.11467580912712372,0.1309509598818607,0.0674155355375503,1.6620769577936794
8,Compas,Massaging,Logistic Regression,"{'C': 0.75, 'class_weight': None, 'n_jobs': -1}",0.6933906966112792,0.20688580922276598,0.6219676468663257,0.08788930395805986,0.37441176470588233,0.18592480925424565,0.6165307576565697,0.640060570830429,0.13047647097323123,0.0218363187072019,0.2172585725299375,0.12600224608365213,0.12600224608365213,0.18592480925424565,0.0980355052961858,2.092934309110805
9,Compas,Massaging,Logistic Regression,"{'C': 0.75, 'class_weight': 'balanced', 'n_jobs': -1}",0.670288934259514,0.032815085355301254,0.6679080377303582,0.08724602268110246,0.6596354166666667,0.20415600131265893,0.5295787428868886,0.5720778176492375,0.32381934120595024,0.042924882311817084,0.44328454484524704,0.18778445630817414,0.18778445630817414,0.20415600131265893,0.11690997863155653,1.6041700008284867
