,dataset,preprocessing,clf_type,params,accuracy,dif_accuracy,balanced_accuracy,dif_balanced_accuracy,recall,dif_recall,precision,dif_precision,fpr,dif_fpr,selection_rate,dif_selection_rate,dif_statistical_parity,dif_equal_opp,dif_avg_odds,disparate_impacto_ratio
0,Adult,DIR,Random Forest,{'n_estimators': 120},0.8362743797266816,0.06780246345032359,0.7689454518601675,0.003965658965809693,0.6354389721627409,0.05713331869688315,0.6828314083709313,0.020533437418526257,0.09754806844240607,0.06012659007554441,0.23086108531245852,0.11512219062832882,0.11512219062832882,0.05713331869688315,0.058629954386213795,0.5339999114357143
1,Adult,DIR,Random Forest,{'n_estimators': 140},0.8359869090265799,0.06758448799714456,0.7690833768662331,0.004692974394729321,0.6364204139900071,0.05272921140261555,0.6818465374343049,0.016591511575558493,0.09825366025754101,0.059179834140522275,0.23163504488965547,0.11363030659218824,0.11363030659218824,0.05272921140261555,0.0559545227715689,0.5411518441222208
2,Adult,DIR,Random Forest,{'n_estimators': 160},0.83598690902658,0.06997624527197971,0.7684851536129033,0.008366136914798705,0.6346359743040685,0.04308793113729603,0.6823319724631001,0.02378598716254887,0.09766566707826188,0.05982020496689342,0.23075051965857327,0.11241830139040408,0.11241830139040408,0.04308793113729603,0.05145406805209474,0.5441202721173686
3,Adult,DIR,Random Forest,{'n_estimators': 180},0.8358321171111406,0.0703398623483365,0.7697880794518543,0.007115019402722411,0.6388294075660242,0.04769485021284681,0.6801532558096259,0.02751836383629075,0.09925324866231552,0.061924889018291684,0.23298394586705584,0.11519831777924118,0.11519831777924118,0.04769485021284681,0.05480986961556922,0.5375052875389361
4,Adult,DIR,Random Forest,{'n_estimators': 200},0.8358100039803635,0.06668670487622336,0.768576933115713,0.0022391621942495776,0.635260528194147,0.05363571472290052,0.6815504061042517,0.013054376771226062,0.09810666196272123,0.05811403911139983,0.23123700853566848,0.11279934718646854,0.11279934718646854,0.05363571472290052,0.05587487691715015,0.5430817123644869
5,Adult,DIR,Naive Bayes,{},0.7804829507761709,0.08537928087916974,0.8103446729139998,0.028403786699289668,0.8695574589578872,0.07725564882391078,0.5351787396646692,0.010216092288656109,0.2488681131298877,0.13406322222249017,0.40270222458095617,0.18812836702524077,0.18812836702524077,0.07725564882391078,0.10565943552320045,0.5614344243582879
6,Adult,DIR,Decision Tree,"{'criterion': 'gini', 'splitter': 'best'}",0.787691831409491,0.08178203099272696,0.7270783544349858,0.018888434926713604,0.6068879371877232,0.038946912687114255,0.5672157622739018,0.01843037289346311,0.15273122831775152,0.07672378254054144,0.2652912299323338,0.11706552795450728,0.11706552795450728,0.038946912687114255,0.05783534761382786,0.5846752912329782
7,Adult,DIR,Decision Tree,"{'criterion': 'gini', 'splitter': 'random'}",0.7893945424793243,0.08201017678836614,0.7298852664144213,0.034163819593318934,0.6118843683083512,0.020529208885806005,0.5702985481310521,0.019016492732628676,0.15211383547950844,0.06997397889017348,0.26606518950953073,0.10582366235290089,0.10582366235290089,0.020529208885806005,0.035810159296854605,0.6234173831676263
8,Adult,DIR,Decision Tree,"{'criterion': 'entropy', 'splitter': 'best'}",0.7906107646720623,0.08445894253544822,0.7317107365665907,0.032723880143048445,0.6149179157744469,0.02919293485532848,0.5736278256927734,0.010312553431722826,0.15149644264126536,0.07481438655929495,0.2663526602096325,0.11149203839747876,0.11149203839747876,0.02919293485532848,0.04209050641624659,0.6057919592214349
9,Adult,DIR,Decision Tree,"{'criterion': 'entropy', 'splitter': 'random'}",0.7876476051479369,0.08312071139785393,0.726690020824024,0.03668284829468199,0.6058172733761599,0.04078552366645338,0.56752868906281,0.019086455276609904,0.15243723172811197,0.06946575286021468,0.2648047410552386,0.10380717279884724,0.10380717279884724,0.04078552366645338,0.03278290456553273,0.6294903844222226
