,dataset,preprocessing,clf_type,params,accuracy,dif_accuracy,balanced_accuracy,dif_balanced_accuracy,recall,dif_recall,precision,dif_precision,fpr,dif_fpr,selection_rate,dif_selection_rate,dif_statistical_parity,dif_equal_opp,dif_avg_odds,disparate_impacto_ratio
0,Compas,DIR,Random Forest,{'n_estimators': 120},0.6439119193872258,0.01965272815927288,0.6415916724557162,0.05014550299992998,0.6155240238870132,0.21490669156624978,0.6077178196439215,0.09936027856320484,0.33234067897558073,0.11461568556638978,0.46132666356190366,0.18324898619332494,0.18324898619332494,0.21490669156624978,0.16476118856631977,1.5474351643870663
1,Compas,DIR,Random Forest,{'n_estimators': 140},0.6447212928266932,0.016546620459012895,0.6423354028140176,0.045273814622965036,0.6155225030669871,0.19770650128156267,0.6088788460937511,0.09665142133425098,0.33085169743895176,0.10715887203563261,0.46051665907303896,0.17191268704664925,0.17191268704664925,0.19770650128156267,0.1524326866585976,1.5006299631585795
2,Compas,DIR,Random Forest,{'n_estimators': 160},0.6429379472299666,0.01745361390961203,0.6406102830205309,0.04803744122259879,0.6144546339386197,0.21339611754812293,0.6067063406552782,0.09632762908742165,0.33323406789755805,0.11732123510292526,0.4613271368489516,0.18397244869679782,0.18397244869679782,0.21339611754812293,0.16535867632552406,1.5477072733575552
3,Compas,DIR,Random Forest,{'n_estimators': 180},0.643749424167425,0.01709088700578676,0.6414133563076492,0.046385796608043095,0.6151673915908791,0.2212829390689814,0.6075849831458007,0.09082147529650897,0.33234067897558073,0.12851134585289514,0.461164589041701,0.1938349098285371,0.1938349098285371,0.2212829390689814,0.1748971424609383,1.5878475482073635
4,Compas,DIR,Random Forest,{'n_estimators': 200},0.6439113409252784,0.019651398089688465,0.6411848899341455,0.05135923124857711,0.6105413105413106,0.21818282989814125,0.608816864677782,0.09960433350495262,0.32817153067301963,0.11546436740098713,0.45678747265978487,0.18503194896236264,0.18503194896236264,0.21818282989814125,0.16682359864956417,1.5588076280920657
5,Compas,DIR,Naive Bayes,{},0.5055926226959861,0.04458569437958196,0.5373463829111784,0.016608168596265405,0.8939304072756029,0.03750714902391317,0.4774975653750483,0.08636635762348363,0.819237641453246,0.07072348621644398,0.8532602956760916,0.06342905066818894,0.06342905066818894,0.03750714902391317,0.05411531762017856,1.0823955211586103
6,Compas,DIR,Decision Tree,"{'criterion': 'gini', 'splitter': 'best'}",0.6152106358748217,0.012550645767784252,0.6102616054102281,0.0216414670000587,0.5546506676399915,0.12541246331274522,0.5812870071379066,0.0927069328018667,0.33412745681953543,0.0821295293126279,0.43457248296482154,0.12101934183734914,0.12101934183734914,0.12541246331274522,0.10377099631268656,1.34523075586048
7,Compas,DIR,Decision Tree,"{'criterion': 'gini', 'splitter': 'random'}",0.6212102854320565,0.030359223811465386,0.6176639964816975,0.030668957019729437,0.5777937463880525,0.12029496833102021,0.5852502695691582,0.10507320968338246,0.34246575342465757,0.05895705429156134,0.4496540902728784,0.10706198062078251,0.10706198062078251,0.12029496833102021,0.08962601131129075,1.291166329651674
8,Compas,DIR,Decision Tree,"{'criterion': 'entropy', 'splitter': 'best'}",0.6169940866464478,0.010605631466254206,0.6118969504004763,0.039303671605856405,0.5546455982399043,0.15292192729742365,0.5837634770889488,0.11260491311112569,0.33085169743895176,0.07431458408571084,0.4327869286952044,0.1284212951533577,0.1284212951533577,0.15292192729742365,0.11361825569156725,1.369549677131654
9,Compas,DIR,Decision Tree,"{'criterion': 'entropy', 'splitter': 'random'}",0.6221835213650188,0.021363820186476368,0.6164003512131104,0.052161030541770737,0.5514427512648153,0.16903104146153594,0.591506578486948,0.12671652753489165,0.31864204883859437,0.06470898037799447,0.4246792060388903,0.13056732960789477,0.13056732960789477,0.16903104146153594,0.11687001091976519,1.3899158244628749
