,dataset,preprocessing,clf_type,params,accuracy,dif_accuracy,balanced_accuracy,dif_balanced_accuracy,recall,dif_recall,precision,dif_precision,fpr,dif_fpr,selection_rate,dif_selection_rate,dif_statistical_parity,dif_equal_opp,dif_avg_odds,disparate_impacto_ratio
0,Adult,sem pré-processamento,Decision Tree,"{'criterion': 'gini', 'max_depth': 3, 'splitter': 'best', 'random_state': 42}",0.8386847109813806,0.057458128732740366,0.7317529552952688,0.017660022725172697,0.5197180585296217,0.029188175663990318,0.7530652209963942,0.058473392143182756,0.056212147939083905,0.01803976332988846,0.17108929282207774,0.06459106093067357,0.06459106093067357,0.029188175663990318,0.013560590071193576,0.6411865615409384
1,Adult,sem pré-processamento,Decision Tree,"{'criterion': 'gini', 'max_depth': 3, 'splitter': 'random', 'random_state': 42}",0.802485515899341,0.07543902321400542,0.6523536835002692,0.006014946490468631,0.3546573875802998,0.009315130122270643,0.7015047192516166,0.05118456183691972,0.04995002057976128,0.01752667508437189,0.12546990402901242,0.047063426224130116,0.047063426224130116,0.009315130122270643,0.011511728593903314,0.6428291886887458
2,Adult,sem pré-processamento,Decision Tree,"{'criterion': 'gini', 'max_depth': 7, 'splitter': 'best', 'random_state': 42}",0.8519304763168369,0.049603641978809954,0.7601200535388565,0.008899403404540762,0.5780692362598144,0.040206989045025565,0.7671419088920354,0.04687749372738287,0.057829129182101494,0.022408182235943947,0.18676750254301006,0.07931915337312515,0.07931915337312515,0.040206989045025565,0.0313075856404848,0.5995366392871084
3,Adult,sem pré-processamento,Decision Tree,"{'criterion': 'gini', 'max_depth': 7, 'splitter': 'random', 'random_state': 42}",0.8325372606253594,0.06184522096293399,0.7518944444591338,0.00834173378957681,0.5919878658101356,0.02255433675229146,0.6907601616631281,0.029792280444415287,0.08819897689186806,0.03923780433144511,0.21306001503692895,0.08854157810181963,0.08854157810181963,0.02255433675229146,0.03089607054186827,0.6074839806298244
4,Adult,sem pré-processamento,Decision Tree,"{'criterion': 'gini', 'max_depth': 11, 'splitter': 'best', 'random_state': 42}",0.851510326832073,0.04770030719891394,0.765374321871999,0.005870284285349969,0.5945753033547465,0.02872976440363889,0.7544038522278311,0.06297658410696017,0.06382665961074852,0.020601639806442407,0.1953695104152846,0.0769938577070368,0.0769938577070368,0.02872976440363889,0.024665702105040627,0.6274844814752233
5,Adult,sem pré-processamento,Decision Tree,"{'criterion': 'gini', 'max_depth': 11, 'splitter': 'random', 'random_state': 42}",0.8447658219450709,0.052228975816540735,0.7488665864880679,0.013422265970894187,0.5587080656673804,0.05298145685963923,0.7513948627633205,0.044276898134629594,0.06097489269124478,0.026136924917850836,0.18433505815753393,0.0821956208188367,0.0821956208188367,0.05298145685963923,0.039559190888745044,0.5823744817029746
6,Adult,sem pré-processamento,Decision Tree,"{'criterion': 'gini', 'max_depth': 15, 'splitter': 'best', 'random_state': 42}",0.8426871876520278,0.04783850428466113,0.7749133386819309,0.0011104453682754811,0.640524625267666,0.03305345773578461,0.7022933251605407,0.062056819935194074,0.09069794790380431,0.030832566999233476,0.2269691742956968,0.0881522987848445,0.0881522987848445,0.03305345773578461,0.031943012367509044,0.6294473922265721
7,Adult,sem pré-processamento,Decision Tree,"{'criterion': 'gini', 'max_depth': 15, 'splitter': 'random', 'random_state': 42}",0.8418026624209456,0.04739557254410104,0.7552719348840993,0.017939458953268594,0.5836902212705211,0.0628467312452694,0.7248281254610369,0.06795294431740528,0.07314635150232257,0.026967813338732185,0.19968157091681038,0.08586945949276865,0.08586945949276865,0.0628467312452694,0.04490727229200081,0.5963784113362987
8,Adult,sem pré-processamento,Decision Tree,"{'criterion': 'entropy', 'max_depth': 3, 'splitter': 'best', 'random_state': 42}",0.8386847109813806,0.057458128732740366,0.7317529552952688,0.017660022725172697,0.5197180585296217,0.029188175663990318,0.7530652209963942,0.058473392143182756,0.056212147939083905,0.01803976332988846,0.17108929282207774,0.06459106093067357,0.06459106093067357,0.029188175663990318,0.013560590071193576,0.6411865615409384
9,Adult,sem pré-processamento,Decision Tree,"{'criterion': 'entropy', 'max_depth': 3, 'splitter': 'random', 'random_state': 42}",0.8154438105346955,0.06258330640474108,0.6899517002005346,0.012609111007257257,0.4411134903640257,0.024764629135555855,0.703673475937077,0.07926275168309188,0.06121008996295643,0.018168828286257478,0.15536685683959134,0.05863905943091583,0.05863905943091583,0.024764629135555855,0.021466728710906643,0.6415682707780346
10,Adult,sem pré-processamento,Decision Tree,"{'criterion': 'entropy', 'max_depth': 7, 'splitter': 'best', 'random_state': 42}",0.8494980319313609,0.050591433536203545,0.7498886574478905,0.009944869014933577,0.5523733047822983,0.03943829533842996,0.776704477630011,0.05283827955072745,0.052595989886517314,0.01954855730856265,0.17646278360090223,0.07470009882810424,0.07470009882810424,0.03943829533842996,0.02949342632349633,0.6022764112165141
11,Adult,sem pré-processamento,Decision Tree,"{'criterion': 'entropy', 'max_depth': 7, 'splitter': 'random', 'random_state': 42}",0.825991773915351,0.06080826861699751,0.7184696448206426,0.0003449329393083733,0.5052640970735189,0.024998239776457265,0.7094612099771298,0.056929398786433105,0.06832480743223379,0.025041838644060975,0.1766175755163416,0.07028123350814477,0.07028123350814477,0.024998239776457265,0.025020039210259137,0.624315678018359
12,Adult,sem pré-processamento,Decision Tree,"{'criterion': 'entropy', 'max_depth': 11, 'splitter': 'best', 'random_state': 42}",0.850736367254876,0.05393499557395842,0.7721581515307527,0.010028167532634358,0.6163454675231976,0.008494503931933628,0.7409826121671701,0.036478569010624295,0.07202916446169225,0.027649585078707087,0.20693467781168456,0.08068429672351551,0.08068429672351551,0.008494503931933628,0.017621417546072715,0.6279328013699459
13,Adult,sem pré-processamento,Decision Tree,"{'criterion': 'entropy', 'max_depth': 11, 'splitter': 'random', 'random_state': 42}",0.8403653089204369,0.05311333474990709,0.7443261176371639,0.01515987677584002,0.5538900785153462,0.05861209469457915,0.7369145447590633,0.04138232878634712,0.0652378432410184,0.02829234114289902,0.186347353058246,0.08398032453944371,0.08398032453944371,0.05861209469457915,0.043452217918739086,0.575802232181448
14,Adult,sem pré-processamento,Decision Tree,"{'criterion': 'entropy', 'max_depth': 15, 'splitter': 'best', 'random_state': 42}",0.8442129936756446,0.052136645769733425,0.7714409525162143,0.006745582582858511,0.6271413276231264,0.023835803609277728,0.7122513123467558,0.05002119589212983,0.08425942259069794,0.03167061113357719,0.21880942903896333,0.08657821628923647,0.08657821628923647,0.023835803609277728,0.027753207371427474,0.6240529284303284
