,dataset,preprocessing,clf_type,params,accuracy,dif_accuracy,balanced_accuracy,dif_balanced_accuracy,recall,dif_recall,precision,dif_precision,fpr,dif_fpr,selection_rate,dif_selection_rate,dif_statistical_parity,dif_equal_opp,dif_avg_odds,disparate_impacto_ratio
0,Alcohol,sem pré-processamento,Decision Tree,"{'criterion': 'gini', 'max_depth': 3, 'splitter': 'best', 'random_state': 42}",0.5429350921867014,0.15119029720697877,0.4785587874750624,0.1255516141736591,0.5453528690677718,0.10110322834731814,0.974789771160739,0.050978418156546856,0.5882352941176471,0.15,0.5461259971226131,0.08813393107312974,0.08813393107312974,0.10110322834731814,0.027981954730934608,2.0145570572688882
1,Alcohol,sem pré-processamento,Decision Tree,"{'criterion': 'gini', 'max_depth': 3, 'splitter': 'random', 'random_state': 42}",0.979311746177556,0.06363776148268624,0.49865010799136067,0.0014705882352941124,0.9973002159827213,0.002941176470588225,0.9819148117465448,0.06651073849887013,1.0,0.0,0.9973488865323437,0.0029069767441860517,0.0029069767441860517,0.002941176470588225,0.0014705882352941124,1.0029239766081872
2,Alcohol,sem pré-processamento,Decision Tree,"{'criterion': 'gini', 'max_depth': 7, 'splitter': 'best', 'random_state': 42}",0.4277551879645077,0.17059161205229312,0.49208849110831065,0.17023477646422322,0.42535345280485665,0.16016652262541617,0.975244947948561,0.042742566510172164,0.44117647058823534,0.18030303030303033,0.4256382372740925,0.14003666395588027,0.14003666395588027,0.16016652262541617,0.048941034086889545,2.0217455186600057
3,Alcohol,sem pré-processamento,Decision Tree,"{'criterion': 'gini', 'max_depth': 7, 'splitter': 'random', 'random_state': 42}",0.812738515781724,0.06486530352835046,0.47157643350376166,0.06701993925877786,0.8255058081839939,0.07375232927465203,0.9807271408794251,0.07626324952572017,0.8823529411764706,0.2077922077922078,0.8265304973736528,0.07423716419848425,0.07423716419848425,0.07375232927465203,0.1407722685334299,0.997164810230462
4,Alcohol,sem pré-processamento,Decision Tree,"{'criterion': 'gini', 'max_depth': 11, 'splitter': 'best', 'random_state': 42}",0.49941180178902317,0.13263074988553192,0.5285752694633395,0.2255492952587057,0.4983270095149145,0.10933203149215798,0.9764242849349232,0.05618662917331396,0.44117647058823534,0.3772727272727273,0.49729485109860794,0.10162202980953874,0.10162202980953874,0.10933203149215798,0.1517234320140216,1.984430716797661
5,Alcohol,sem pré-processamento,Decision Tree,"{'criterion': 'gini', 'max_depth': 11, 'splitter': 'random', 'random_state': 42}",0.7994773197524276,0.06856381851854382,0.46482405477514105,0.06490347187956289,0.8120010507267527,0.07798526403308204,0.9804065442040212,0.07683443927656614,0.8823529411764706,0.2077922077922078,0.8132693013443566,0.07793567918867755,0.07793567918867755,0.07798526403308204,0.1428887359126449,1.0065717872223734
6,Alcohol,sem pré-processamento,Decision Tree,"{'criterion': 'gini', 'max_depth': 15, 'splitter': 'best', 'random_state': 42}",0.4999420244825544,0.1320493545366947,0.5288452478650674,0.22525517761164687,0.4988669663183702,0.10874379619804034,0.9766034535923527,0.05589320194326697,0.44117647058823534,0.3772727272727273,0.4978250737921392,0.10104063446070154,0.10104063446070154,0.10874379619804034,0.15201754966108041,1.9641618478948195
7,Alcohol,sem pré-processamento,Decision Tree,"{'criterion': 'gini', 'max_depth': 15, 'splitter': 'random', 'random_state': 42}",0.8700672966297649,0.06937466257542935,0.4863323455586192,0.020731858604770476,0.8844293969995913,0.057484857435628145,0.9813242599898294,0.07247408832690266,0.9117647058823529,0.06688311688311693,0.8849219750851621,0.05325021014289716,0.05325021014289716,0.057484857435628145,0.06218398715937251,0.9807326065870976
8,Alcohol,sem pré-processamento,Decision Tree,"{'criterion': 'entropy', 'max_depth': 3, 'splitter': 'best', 'random_state': 42}",0.667371378781636,0.04985477929870358,0.4986078557276626,0.13630292426707444,0.6736862996906193,0.05026215507590426,0.9819166536445738,0.047537735632973754,0.6764705882352942,0.2324675324675325,0.6737357397113157,0.04673765965734744,0.04673765965734744,0.05026215507590426,0.09616460820045805,1.0395017379400908
9,Alcohol,sem pré-processamento,Decision Tree,"{'criterion': 'entropy', 'max_depth': 3, 'splitter': 'random', 'random_state': 42}",0.9809024142581497,0.0653819475291979,0.49946004319654425,0.0005882352941176394,0.9989200863930885,0.0011764705882352788,0.9819437017583048,0.06653118588773854,1.0,0.0,0.9989395546129374,0.0011627906976744429,0.0011627906976744429,0.0011764705882352788,0.0005882352941176394,1.0011655011655012
