,dataset,preprocessing,clf_type,params,accuracy,dif_accuracy,balanced_accuracy,dif_balanced_accuracy,recall,dif_recall,precision,dif_precision,fpr,dif_fpr,selection_rate,dif_selection_rate,dif_statistical_parity,dif_equal_opp,dif_avg_odds,disparate_impacto_ratio
0,Bank,sem pré-processamento,Decision Tree,"{'criterion': 'gini', 'max_depth': 3, 'splitter': 'best', 'random_state': 42}",0.5997441616373655,0.07625761394664984,0.5587459298617827,0.07798260191637607,0.5038896364998913,0.13964232488822653,0.5785614811173917,0.5678709502605567,0.3863977767763257,0.01632287894452561,0.4012726318551561,0.031328139846570846,0.031328139846570846,0.13964232488822653,0.07470391339178589,0.5000975809297199
1,Bank,sem pré-processamento,Decision Tree,"{'criterion': 'gini', 'max_depth': 3, 'splitter': 'random', 'random_state': 42}",0.5692403568617161,0.061730478790970225,0.5403957141432059,0.05817515005236468,0.5018144116122343,0.03535353535353535,0.5734342896278822,0.5437445175917912,0.42102298332582244,0.08099676475119394,0.4312516399895041,0.07909158990208141,0.07909158990208141,0.03535353535353535,0.05817515005236466,0.582736643323629
2,Bank,sem pré-processamento,Decision Tree,"{'criterion': 'gini', 'max_depth': 7, 'splitter': 'best', 'random_state': 42}",0.5633035948569929,0.11301834848621234,0.5366653710608527,0.04915650043293429,0.5010384182520945,0.0627918529557874,0.5720673329826407,0.06828941698159798,0.42770767613038907,0.03552114791008126,0.4369916032537392,0.032940321161020594,0.032940321161020594,0.0627918529557874,0.04587781190834414,51.9086036155884
3,Bank,sem pré-processamento,Decision Tree,"{'criterion': 'gini', 'max_depth': 7, 'splitter': 'random', 'random_state': 42}",0.5715035423773288,0.05028955501545296,0.5547727073580543,0.03609595826193224,0.5324055794164336,0.03961417453220734,0.14555926787223034,0.19744715004733476,0.42286016470032506,0.03257774199165708,0.4367292049330884,0.027444276912613433,0.027444276912613433,0.03961417453220734,0.015945107324367745,1.0234481304603258
4,Bank,sem pré-processamento,Decision Tree,"{'criterion': 'gini', 'max_depth': 11, 'splitter': 'best', 'random_state': 42}",0.568945158750984,0.10833589632030086,0.5397842304987951,0.04329971193479626,0.5007792165932038,0.05774134790528234,0.5730165981422263,0.06733841489134912,0.42121075559561366,0.02885807596431017,0.4312844397795854,0.02594305418029423,0.02594305418029423,0.05774134790528234,0.04002102341020608,47.62919876200086
5,Bank,sem pré-processamento,Decision Tree,"{'criterion': 'gini', 'max_depth': 11, 'splitter': 'random', 'random_state': 42}",0.5701915507740751,0.09786140616717176,0.5389475105525627,0.0514747229158789,0.4971529450949108,0.0817916873654579,0.5726862129679247,0.06522234467798507,0.4192579239897852,0.025310763930780855,0.4291196536342168,0.03052454966443623,0.03052454966443623,0.0817916873654579,0.0535512256481194,69.05991731320394
6,Bank,sem pré-processamento,Decision Tree,"{'criterion': 'gini', 'max_depth': 15, 'splitter': 'best', 'random_state': 42}",0.5688467593807399,0.10843716556145666,0.5397278988178578,0.0433574842349041,0.5007792165932038,0.05774134790528234,0.57299992387912,0.06735512569447216,0.42132341895748837,0.028973620564525848,0.43138283914982944,0.026044323421450064,0.026044323421450064,0.05774134790528234,0.04007879571031392,47.629084988636095
7,Bank,sem pré-processamento,Decision Tree,"{'criterion': 'gini', 'max_depth': 15, 'splitter': 'random', 'random_state': 42}",0.5966281815796379,0.07177738770366368,0.5539711318952671,0.041255957921095376,0.49689374343602016,0.07674118231495285,0.5774722584856397,0.060413397593962484,0.38895147964548593,0.005770733527237948,0.4026174232484912,0.03232645452636004,0.03232645452636004,0.07674118231495285,0.0391794551888549,64.80699628259734
8,Bank,sem pré-processamento,Decision Tree,"{'criterion': 'entropy', 'max_depth': 3, 'splitter': 'best', 'random_state': 42}",0.5690763579113094,0.03654725647873093,0.5426291236601003,0.11070475981506639,0.5072576464489372,0.1414141414141414,0.5732892838155996,0.5438915063473367,0.4219993991287367,0.0799953782159914,0.4327932301233272,0.10251947870095321,0.10251947870095321,0.1414141414141414,0.11070475981506639,0.5815469179426777
9,Bank,sem pré-processamento,Decision Tree,"{'criterion': 'entropy', 'max_depth': 3, 'splitter': 'random', 'random_state': 42}",0.5670427709262661,0.059468799071823605,0.5391376399356049,0.056884902016622885,0.5018144116122343,0.03535353535353535,0.5730617807389461,0.5441220807532642,0.4235391317410245,0.07841626867971035,0.4334492259249541,0.07682991018293477,0.07682991018293477,0.03535353535353535,0.05688490201662286,0.5796806512210395
