,dataset,preprocessing,clf_type,params,accuracy,dif_accuracy,balanced_accuracy,dif_balanced_accuracy,recall,dif_recall,precision,dif_precision,fpr,dif_fpr,selection_rate,dif_selection_rate,dif_statistical_parity,dif_equal_opp,dif_avg_odds,disparate_impacto_ratio
0,Canabis,sem pré-processamento,Decision Tree,"{'criterion': 'gini', 'max_depth': 3, 'splitter': 'best', 'random_state': 42}",0.5168506122890085,0.24484551934339743,0.5111940298507462,0.07784285017081499,0.5223880597014925,0.15568570034163004,0.8901273885350318,0.07334089619965967,0.5,0.0,0.5174973488865323,0.0997128047072009,0.0997128047072009,0.15568570034163004,0.07784285017081502,6.716867469879518
1,Canabis,sem pré-processamento,Decision Tree,"{'criterion': 'gini', 'max_depth': 3, 'splitter': 'random', 'random_state': 42}",0.7337083167286949,0.13226137676058747,0.5939459925811486,0.0617013804847813,0.8432669675740039,0.0661739244261128,0.8327624431881167,0.08808019513418042,0.6553749824117068,0.05722883654344986,0.8022201808836145,0.0017898024315071148,0.0017898024315071148,0.0661739244261128,0.009330650608611563,0.9978852006832137
2,Canabis,sem pré-processamento,Decision Tree,"{'criterion': 'gini', 'max_depth': 7, 'splitter': 'best', 'random_state': 42}",0.5195039772330706,0.2266997655967033,0.5189669409934543,0.06877892438695771,0.5210256694265223,0.13717040204784028,0.8927038626609443,0.07178192685439061,0.4830917874396135,0.00038744672607515795,0.5127197159537367,0.08678542872567982,0.08678542872567982,0.13717040204784028,0.06839147766088256,5.104212863798396
3,Canabis,sem pré-processamento,Decision Tree,"{'criterion': 'gini', 'max_depth': 7, 'splitter': 'random', 'random_state': 42}",0.7236391513735132,0.12713064395984391,0.595276878318381,0.0675030935176944,0.8242599617866142,0.0797162258457304,0.8315519714515621,0.07708842960136897,0.6337062051498522,0.07621208439771733,0.7825901209718273,0.007032953139842424,0.007032953139842424,0.0797162258457304,0.012213132328035982,1.0080541058582502
4,Canabis,sem pré-processamento,Decision Tree,"{'criterion': 'gini', 'max_depth': 11, 'splitter': 'best', 'random_state': 42}",0.5195045401021721,0.2278625562943777,0.5198354574362731,0.06796259076400352,0.5203472433749619,0.13790246646950938,0.89312567132116,0.07225127087872185,0.4806763285024155,0.0024215420379697927,0.5116587076975727,0.0867854287256798,0.0867854287256798,0.13790246646950938,0.07016200425373958,5.375687542134104
5,Canabis,sem pré-processamento,Decision Tree,"{'criterion': 'gini', 'max_depth': 11, 'splitter': 'random', 'random_state': 42}",0.6923520723714576,0.12694493231006837,0.5622090184189384,0.059539760565860134,0.794414753689807,0.08451298498876003,0.817654948585054,0.09502707751562828,0.6699967168519301,0.03730542841319773,0.7672209801577384,0.04063787765924731,0.04063787765924731,0.08451298498876003,0.04123260432420116,1.0500194907348737
6,Canabis,sem pré-processamento,Decision Tree,"{'criterion': 'gini', 'max_depth': 15, 'splitter': 'best', 'random_state': 42}",0.5173813978516413,0.22553697489902888,0.5150045395618771,0.07335843974385975,0.5203472433749619,0.13790246646950938,0.8914438502673796,0.07038048977939687,0.49033816425120774,0.008814413018209954,0.5137818499481035,0.08911101012102864,0.08911101012102864,0.13790246646950938,0.07115902625412363,5.373346965759612
7,Canabis,sem pré-processamento,Decision Tree,"{'criterion': 'gini', 'max_depth': 15, 'splitter': 'random', 'random_state': 42}",0.7183307328780848,0.11376880180962079,0.5910205729174489,0.047496949044022935,0.8181393588643056,0.052940605557011855,0.8307502475675506,0.10739240057694427,0.6360982130294076,0.04205329253103404,0.77834552507807,0.005005159606093101,0.005005159606093101,0.052940605557011855,0.024056089799123877,1.0070871366848602
8,Canabis,sem pré-processamento,Decision Tree,"{'criterion': 'entropy', 'max_depth': 3, 'splitter': 'best', 'random_state': 42}",0.5184424061078052,0.2320690020433407,0.5139487018137245,0.09471819727032527,0.5230664857530529,0.15495363591996095,0.8909574468085106,0.06526162790697676,0.49516908212560384,0.03448275862068967,0.5169660004547982,0.11132653130958321,0.11132653130958321,0.15495363591996095,0.0947181972703253,6.316118131060829
9,Canabis,sem pré-processamento,Decision Tree,"{'criterion': 'entropy', 'max_depth': 3, 'splitter': 'random', 'random_state': 42}",0.7337083167286949,0.13226137676058747,0.5939459925811486,0.0617013804847813,0.8432669675740039,0.0661739244261128,0.8327624431881167,0.08808019513418042,0.6553749824117068,0.05722883654344986,0.8022201808836145,0.0017898024315071148,0.0017898024315071148,0.0661739244261128,0.009330650608611563,0.9978852006832137
10,Canabis,sem pré-processamento,Decision Tree,"{'criterion': 'entropy', 'max_depth': 7, 'splitter': 'best', 'random_state': 42}",0.5205627340128289,0.2352595862747644,0.5144370374740265,0.08426734656098012,0.5264586160108549,0.15129331381161543,0.8905419766206164,0.06935113407981625,0.4975845410628019,0.017241379310344807,0.5201478994850873,0.1023219935897874,0.1023219935897874,0.15129331381161543,0.08426734656098013,4.934522060366904
11,Canabis,sem pré-processamento,Decision Tree,"{'criterion': 'entropy', 'max_depth': 7, 'splitter': 'random', 'random_state': 42}",0.5947888452852959,0.24262842635431114,0.5409334528519704,0.09420408886370271,0.6377038739512086,0.19806753106349692,0.8386375209136538,0.07553767599379313,0.5558369682472679,0.015277330864181322,0.6198247000470558,0.12126987815128923,0.12126987815128923,0.19806753106349692,0.1038634421997942,1.5247511930884834
12,Canabis,sem pré-processamento,Decision Tree,"{'criterion': 'entropy', 'max_depth': 11, 'splitter': 'best', 'random_state': 42}",0.5189720659322351,0.22379278885251724,0.5134193983966859,0.0753741195125554,0.5244233378561737,0.133506859714766,0.8905419766206164,0.06935113407981625,0.4975845410628019,0.017241379310344807,0.5185572314044935,0.09085519616754029,0.09085519616754029,0.133506859714766,0.07537411951255542,4.6384807522774025
13,Canabis,sem pré-processamento,Decision Tree,"{'criterion': 'entropy', 'max_depth': 11, 'splitter': 'random', 'random_state': 42}",0.6372083493751027,0.22588020829774,0.5750479402789896,0.12037045914612449,0.686550549663556,0.16534154006517798,0.8593895988091813,0.10307094989894694,0.5364546691055767,0.08253709747678056,0.6537572638257537,0.08071913291281974,0.08071913291281974,0.16534154006517798,0.07026700238679848,1.2080013303556725
14,Canabis,sem pré-processamento,Decision Tree,"{'criterion': 'entropy', 'max_depth': 15, 'splitter': 'best', 'random_state': 42}",0.5189720659322351,0.22379278885251724,0.5134193983966859,0.0753741195125554,0.5244233378561737,0.133506859714766,0.8905419766206164,0.06935113407981625,0.4975845410628019,0.017241379310344807,0.5185572314044935,0.09085519616754029,0.09085519616754029,0.133506859714766,0.07537411951255542,4.6384807522774025
15,Canabis,sem pré-processamento,Decision Tree,"{'criterion': 'entropy', 'max_depth': 15, 'splitter': 'random', 'random_state': 42}",0.6038015053371248,0.26344658270062665,0.5571568497544435,0.12410176474525547,0.6410830818080285,0.21447631706313774,0.8554911600216489,0.11358524298373268,0.5267693822991417,0.07126940243456636,0.6161063867631199,0.11828550731570643,0.11828550731570643,0.21447631706313774,0.09485026087879556,1.3887658959769291
16,Canabis,sem pré-processamento,KNN,"{'n_neighbors': 1, 'weights': 'uniform'}",0.5168517380272114,0.21399671288671418,0.5129310627363839,0.08082930838143637,0.5210312075983717,0.12717585814218318,0.8909574468085106,0.06526162790697676,0.49516908212560384,0.03448275862068967,0.5153753323742044,0.0932542421529567,0.0932542421529567,0.12717585814218318,0.08082930838143643,5.344732588892153
17,Canabis,sem pré-processamento,KNN,"{'n_neighbors': 1, 'weights': 'distance'}",0.5168517380272114,0.21399671288671418,0.5129310627363839,0.08082930838143637,0.5210312075983717,0.12717585814218318,0.8909574468085106,0.06526162790697676,0.49516908212560384,0.03448275862068967,0.5153753323742044,0.0932542421529567,0.0932542421529567,0.12717585814218318,0.08082930838143643,5.344732588892153
18,Canabis,sem pré-processamento,KNN,"{'n_neighbors': 3, 'weights': 'uniform'}",0.5364694148187674,0.23763420101278626,0.5246134282474322,0.08827336575733608,0.5468113975576662,0.15930535220432732,0.8905419766206164,0.06935113407981625,0.4975845410628019,0.017241379310344807,0.5360545802910258,0.10469660832780925,0.10469660832780925,0.15930535220432732,0.08827336575733608,2.760468704084631
