,dataset,preprocessing,clf_type,params,accuracy,dif_accuracy,balanced_accuracy,dif_balanced_accuracy,recall,dif_recall,precision,dif_precision,fpr,dif_fpr,selection_rate,dif_selection_rate,dif_statistical_parity,dif_equal_opp,dif_avg_odds,disparate_impacto_ratio
0,Compas,sem pré-processamento,Decision Tree,"{'criterion': 'gini', 'max_depth': 3, 'splitter': 'best', 'random_state': 42}",0.6700164346298033,0.0099942354438739,0.6631379165951622,0.04797180182321337,0.5859542131784126,0.20062715366448364,0.6541806250286816,0.08105502855866814,0.2596783799880882,0.10468355001805704,0.40829558606188576,0.17576702487340673,0.17576702487340673,0.20062715366448364,0.15265535184127035,1.6106192405819955
1,Compas,sem pré-processamento,Decision Tree,"{'criterion': 'gini', 'max_depth': 3, 'splitter': 'random', 'random_state': 42}",0.6384007546509393,0.01851613706059596,0.6455110638101965,0.02184312208293171,0.7255069400087193,0.14508867584998525,0.5856055139309387,0.09319090198775354,0.43448481238832637,0.10140243168412183,0.56704005859504,0.14714176752221578,0.14714176752221578,0.14508867584998525,0.12324555376705355,1.3072755888107725
2,Compas,sem pré-processamento,Decision Tree,"{'criterion': 'gini', 'max_depth': 7, 'splitter': 'best', 'random_state': 42}",0.6688837009616773,0.017435584384554614,0.6589312708851962,0.04711276818429838,0.5471656984112501,0.1801884291096584,0.66688516368828,0.08210625843257657,0.22930315664085765,0.08596289274106177,0.37408524131118603,0.15566330155607086,0.15566330155607086,0.1801884291096584,0.13307566092536005,1.5744930862983004
3,Compas,sem pré-processamento,Decision Tree,"{'criterion': 'gini', 'max_depth': 7, 'splitter': 'random', 'random_state': 42}",0.6619116568706765,0.013210225547327092,0.6499818160558486,0.04731870656824011,0.5158659549228944,0.17033486709097653,0.6682977861771058,0.08529681388219162,0.21590232281119714,0.0756974539544962,0.3525299611736341,0.1439188030175237,0.1439188030175237,0.17033486709097653,0.12301616052273638,1.5740609529877911
4,Compas,sem pré-processamento,Decision Tree,"{'criterion': 'gini', 'max_depth': 11, 'splitter': 'best', 'random_state': 42}",0.6513702922137339,0.012451553165437723,0.6429059379033573,0.04209642474282643,0.5478726262534092,0.14850908880189204,0.6367704173356938,0.10327133950149431,0.26206075044669447,0.0643162393162393,0.39224516016664757,0.1268776343582746,0.1268776343582746,0.14850908880189204,0.10641266405906567,1.4100292715661897
5,Compas,sem pré-processamento,Decision Tree,"{'criterion': 'gini', 'max_depth': 11, 'splitter': 'random', 'random_state': 42}",0.6596398790404515,0.016016344171431274,0.6493091943748632,0.0400788460337137,0.5332818789224483,0.17603767280656324,0.6553598017169012,0.07371390404819472,0.23466349017272187,0.09587998073913565,0.3706811505124331,0.15772153759913252,0.15772153759913252,0.17603767280656324,0.13595882677284946,1.5911840939213218
6,Compas,sem pré-processamento,Decision Tree,"{'criterion': 'gini', 'max_depth': 15, 'splitter': 'best', 'random_state': 42}",0.6434243285529238,0.02126626355539557,0.6345359103711707,0.03506668996683088,0.5347061268769453,0.14021885001913184,0.6273926885804452,0.09628326708947582,0.2656343061346039,0.07008547008547007,0.3881940333858787,0.12506865128249456,0.12506865128249456,0.14021885001913184,0.10515216005230095,1.4101093466864691
7,Compas,sem pré-processamento,Decision Tree,"{'criterion': 'gini', 'max_depth': 15, 'splitter': 'random', 'random_state': 42}",0.647479294217526,0.021450975327934718,0.6403261305400776,0.05463062232839677,0.5599851973517453,0.16735456956349873,0.6265638682657528,0.12019037446811476,0.2793329362715902,0.05809332490670521,0.4071661654030954,0.13073102766289085,0.13073102766289085,0.16735456956349873,0.11272394723510197,1.4087115001210107
8,Compas,sem pré-processamento,Decision Tree,"{'criterion': 'entropy', 'max_depth': 3, 'splitter': 'best', 'random_state': 42}",0.6713138721906207,0.00522881722543056,0.6600419167376972,0.040090662324153814,0.5336037858279852,0.17477097795274968,0.6855186981693006,0.0596360853317614,0.21351995235259083,0.09458965330444202,0.35931731814102946,0.1585410159258041,0.1585410159258041,0.17477097795274968,0.13468031562859584,1.657841757762284
9,Compas,sem pré-processamento,Decision Tree,"{'criterion': 'entropy', 'max_depth': 3, 'splitter': 'random', 'random_state': 42}",0.6384007546509393,0.01851613706059596,0.6455110638101965,0.02184312208293171,0.7255069400087193,0.14508867584998525,0.5856055139309387,0.09319090198775354,0.43448481238832637,0.10140243168412183,0.56704005859504,0.14714176752221578,0.14714176752221578,0.14508867584998525,0.12324555376705355,1.3072755888107725
10,Compas,sem pré-processamento,Decision Tree,"{'criterion': 'entropy', 'max_depth': 7, 'splitter': 'best', 'random_state': 42}",0.6645051121311674,0.021197544214794972,0.6550830929776466,0.04821344073690109,0.5492966207379019,0.17804328932260438,0.6587592800201577,0.09173707201836723,0.2391304347826087,0.08161640784880222,0.3804075674602323,0.15153113603074206,0.15153113603074206,0.17804328932260438,0.12982984858570332,1.5456986647986604
11,Compas,sem pré-processamento,Decision Tree,"{'criterion': 'entropy', 'max_depth': 7, 'splitter': 'random', 'random_state': 42}",0.6669386489568964,0.017591551453275456,0.6559588863410247,0.05799272878910078,0.5325848364104593,0.19053252631541115,0.6684432533769168,0.09755421842209255,0.22066706372840977,0.07454706873720959,0.36273997230955246,0.1529021047366576,0.1529021047366576,0.19053252631541115,0.13253979752631034,1.584118061648803
12,Compas,sem pré-processamento,Decision Tree,"{'criterion': 'entropy', 'max_depth': 11, 'splitter': 'best', 'random_state': 42}",0.657857427430371,0.01746370654671303,0.6473786555605561,0.0418120154515933,0.5297185976011599,0.15724642767699176,0.6548483744438071,0.0905125895376,0.23496128648004763,0.07362239677380522,0.36921916682127376,0.13673273761416746,0.13673273761416746,0.15724642767699176,0.11543441222539849,1.5023213178306507
13,Compas,sem pré-processamento,Decision Tree,"{'criterion': 'entropy', 'max_depth': 11, 'splitter': 'random', 'random_state': 42}",0.6593151515380988,0.019180677136007185,0.6521795587519286,0.055552480322775655,0.5720779977897417,0.18960878272331705,0.6415800701727452,0.10766103793976894,0.2677188802858844,0.07850382207776574,0.40635211168059815,0.15404584020910214,0.15404584020910214,0.18960878272331705,0.13405630240054137,1.5064290942452976
14,Compas,sem pré-processamento,Decision Tree,"{'criterion': 'entropy', 'max_depth': 15, 'splitter': 'best', 'random_state': 42}",0.6494240832850581,0.014062567302384643,0.6402178479730574,0.03489990031659368,0.536838316553619,0.13635060116286105,0.6367381630918454,0.09452779694639274,0.25640262060750446,0.06655080052967378,0.3841385418467787,0.12252834620115197,0.12252834620115197,0.13635060116286105,0.10145070084626741,1.4034425505937396
15,Compas,sem pré-processamento,Decision Tree,"{'criterion': 'entropy', 'max_depth': 15, 'splitter': 'random', 'random_state': 42}",0.6450461255039456,0.005673581439331554,0.6342767947338432,0.03956853018032214,0.513342154089485,0.1547291814633288,0.6372645998196935,0.094196117485987,0.2447885646217987,0.07559212110268448,0.36711214547118987,0.13425895466756654,0.13425895466756654,0.1547291814633288,0.11516065128300662,1.485009675677454
16,Compas,sem pré-processamento,KNN,"{'n_neighbors': 1, 'weights': 'uniform'}",0.6007779051095228,0.020482435930202714,0.596278528864201,0.0015796114521461346,0.5457434782167878,0.06466644783099398,0.5637898849106935,0.08030696117425812,0.35318642048838594,0.06615881184543154,0.44089454617661894,0.08367210723857033,0.08367210723857033,0.06466644783099398,0.06541262983821276,1.2169705680691436
17,Compas,sem pré-processamento,KNN,"{'n_neighbors': 1, 'weights': 'distance'}",0.6007779051095228,0.020482435930202714,0.596278528864201,0.0015796114521461346,0.5457434782167878,0.06466644783099398,0.5637898849106935,0.08030696117425812,0.35318642048838594,0.06615881184543154,0.44089454617661894,0.08367210723857033,0.08367210723857033,0.06466644783099398,0.06541262983821276,1.2169705680691436
18,Compas,sem pré-processamento,KNN,"{'n_neighbors': 3, 'weights': 'uniform'}",0.6309386481154972,0.005797390534754976,0.6235382720745397,0.022346352125072078,0.5404059068649816,0.10011734611844814,0.6064800744717258,0.09548077899724622,0.2933293627159023,0.05542464186830384,0.40587020029087173,0.09771639212994027,0.09771639212994027,0.10011734611844814,0.077770993993376,1.2862116250413003
19,Compas,sem pré-processamento,KNN,"{'n_neighbors': 3, 'weights': 'distance'}",0.6286685004962151,0.00707333423294404,0.6217443292872395,0.020303352596643787,0.5439651326662003,0.0999903575346863,0.6022842103300623,0.09316607858225018,0.3004764740917213,0.059383652341398835,0.41138310041300075,0.09957741305542411,0.09957741305542411,0.0999903575346863,0.07968700493804252,1.288232938536475
20,Compas,sem pré-processamento,KNN,"{'n_neighbors': 5, 'weights': 'uniform'}",0.638722905368253,0.007025936771463015,0.6321997842241103,0.027120858932410064,0.5589201163934261,0.1280115806311617,0.6135020066092884,0.09077832711088835,0.29452054794520544,0.07376986276634162,0.4149508433554495,0.12159488471129579,0.12159488471129579,0.1280115806311617,0.10089072169875163,1.3632437357409226
21,Compas,sem pré-processamento,KNN,"{'n_neighbors': 5, 'weights': 'distance'}",0.6369391390719283,0.011342070612254174,0.6306194731726049,0.02295385371968328,0.5596308462856505,0.12213784467302488,0.6107331739476926,0.08681352132953485,0.29839189994044074,0.07623013723365835,0.4173826973827858,0.12022787788537867,0.12022787788537867,0.12213784467302488,0.09918399095334164,1.3557032159825375
22,Compas,sem pré-processamento,KNN,"{'n_neighbors': 7, 'weights': 'uniform'}",0.649425029859154,0.010258747936751189,0.6420846310046477,0.02376136661789735,0.5596308462856505,0.14105303900201588,0.6295751931698329,0.07236717492868311,0.275461584276355,0.09353030576622126,0.40489680659556004,0.14028634498052814,0.14028634498052814,0.14105303900201588,0.11729167238411858,1.449087384846203
23,Compas,sem pré-processamento,KNN,"{'n_neighbors': 7, 'weights': 'distance'}",0.6445607959299837,0.008247471295889208,0.6374718637727621,0.02447635746475213,0.5578502195050238,0.13681686564576778,0.6226892109500806,0.07871486245740511,0.2829064919594997,0.08786415071626338,0.40813924357370845,0.13437210938741004,0.13437210938741004,0.13681686564576778,0.11234050818101562,1.4206486279956017
24,Compas,sem pré-processamento,Logistic Regression,"{'C': 0.75, 'class_weight': None, 'n_jobs': -1, 'random_state': 42}",0.6743956545097104,0.027605189330395963,0.6659733204538567,0.06982388689607932,0.5713748719976478,0.2230081927159579,0.6662457912457913,0.10539869735262314,0.2394282310899345,0.08336041892379921,0.3906266762249615,0.17352527584779495,0.17352527584779495,0.2230081927159579,0.15318430581987857,1.6282894886325447
25,Compas,sem pré-processamento,Logistic Regression,"{'C': 0.75, 'class_weight': 'balanced', 'n_jobs': -1, 'random_state': 42}",0.6640182575211622,0.01331424735300607,0.6621774635709861,0.04376681112296904,0.6415079944439375,0.21552733236992982,0.6285478941374578,0.07850842266597247,0.31715306730196546,0.12799371012399183,0.464893091818108,0.19515817567517615,0.19515817567517615,0.21552733236992982,0.1717605212469608,1.5804857487758375
26,Compas,sem pré-processamento,Logistic Regression,"{'C': 1, 'class_weight': None, 'n_jobs': -1, 'random_state': 42}",0.6701803497107479,0.02626792286038615,0.6618968029078055,0.06768616225565005,0.5688799667447354,0.21776142406589255,0.6604761260097063,0.10709180842906535,0.2450863609291245,0.0823890995545925,0.3925706238932971,0.16997412271892204,0.16997412271892204,0.21776142406589255,0.1500752618102425,1.6066536628827373
27,Compas,sem pré-processamento,Logistic Regression,"{'C': 1, 'class_weight': 'balanced', 'n_jobs': -1, 'random_state': 42}",0.6669369135710539,0.016295849485041924,0.6648586442169355,0.045005967095391564,0.6415100222039725,0.2017723470955621,0.6325045092106172,0.08437944315991158,0.31179273377010125,0.11176041290477913,0.46197527716741277,0.18062511474009368,0.18062511474009368,0.2017723470955621,0.15676638000017057,1.5268232513252733
28,Compas,sem pré-processamento,Logistic Regression,"{'C': 1.25, 'class_weight': None, 'n_jobs': -1, 'random_state': 42}",0.6706666258588057,0.025560879288619387,0.6620523590648051,0.067716298654933,0.5653197270634993,0.21788790608559733,0.6625658536585366,0.1057256543978704,0.24121500893388922,0.08245530877573128,0.3888411745427942,0.1700958472325605,0.1700958472325605,0.21788790608559733,0.15017160743066432,1.6165589539685816
29,Compas,sem pré-processamento,Logistic Regression,"{'C': 1.25, 'class_weight': 'balanced', 'n_jobs': -1, 'random_state': 42}",0.6636937929560583,0.009934075532889775,0.6620249829456504,0.03990329769135731,0.6432876073445468,0.21116569012209113,0.6276548303119048,0.07423045415688612,0.31923764145324596,0.1313590947393764,0.46683893263463544,0.1952211912628317,0.1952211912628317,0.21116569012209113,0.1712623924307338,1.5782730898361017
30,Compas,sem pré-processamento,MLP,"{'alpha': 0.1, 'hidden_layer_sizes': 5, 'max_iter': 5000, 'random_state': 42}",0.6750446888148177,0.017036893781057605,0.668429486084992,0.05454815523936862,0.5941549816994657,0.2036174974295017,0.6592228110017664,0.08809727234405684,0.25729600952948184,0.0945211869507644,0.41073169967265366,0.1722394246858289,0.1722394246858289,0.2036174974295017,0.14906934219013304,1.578804688229271
31,Compas,sem pré-processamento,MLP,"{'alpha': 0.1, 'hidden_layer_sizes': 8, 'max_iter': 5000, 'random_state': 42}",0.6701811385224946,0.019048774999003315,0.6628873828573807,0.05787375890199015,0.5809862010929627,0.20564007829513228,0.6562758272813695,0.09496630161309988,0.25521143537820135,0.08989256049115203,0.40359721294930195,0.16936482095156014,0.16936482095156014,0.20564007829513228,0.14776631939314216,1.5813729945508517
32,Compas,sem pré-processamento,MLP,"{'alpha': 0.1, 'hidden_layer_sizes': 15, 'max_iter': 5000, 'random_state': 42}",0.6771531300260456,0.009402636384471474,0.6694332913868405,0.04875094283820325,0.5827617584735023,0.19439005228288306,0.6673644316226945,0.07656842479892478,0.2438951756998213,0.09688816660647646,0.3982449148987818,0.169912874569187,0.169912874569187,0.19439005228288306,0.14563910944467978,1.5931997197666319
33,Compas,sem pré-processamento,MLP,"{'alpha': 0.1, 'hidden_layer_sizes': (10, 5), 'max_iter': 5000, 'random_state': 42}",0.6743960752093086,0.016775621130404428,0.6663604435761912,0.05571396177567284,0.5760204702375521,0.1934588914097784,0.6658856272410216,0.09071954556629508,0.24329958308516975,0.08203096785843267,0.3948495536166914,0.16043234792796232,0.16043234792796232,0.1934588914097784,0.13774492963410553,1.569920528700709
34,Compas,sem pré-processamento,MLP,"{'alpha': 0.1, 'hidden_layer_sizes': (8, 5), 'max_iter': 5000, 'random_state': 42}",0.6726134658368788,0.01984828639016839,0.6644802495055463,0.06098763363228554,0.5731534710182398,0.21176475203645032,0.6633156584564817,0.09375421129733091,0.24419297200714712,0.08978948477187912,0.3940298204496185,0.17218723759195356,0.17218723759195356,0.21176475203645032,0.15077711840416474,1.6167876610880376
35,Compas,sem pré-processamento,MLP,"{'alpha': 0.1, 'hidden_layer_sizes': (15, 5), 'max_iter': 5000, 'random_state': 42}",0.6708275434551132,0.025805370261316185,0.6694813623732241,0.05159965384797022,0.6543290142044591,0.19925384001807836,0.6348375322072717,0.09526644528311295,0.3153662894580107,0.09605453232213794,0.4697609542813126,0.17149006002724948,0.17149006002724948,0.19925384001807836,0.14765418617010817,1.4835447631475516
36,Compas,sem pré-processamento,MLP,"{'alpha': 0.1, 'hidden_layer_sizes': (7, 6, 5), 'max_iter': 5000, 'random_state': 42}",0.6729368786529872,0.018894938114453308,0.6666414069994038,0.05636151080603258,0.5959391570601535,0.20958184549553704,0.6550271673386787,0.09000260592148807,0.26265634306134605,0.09685882388347179,0.4144627792340996,0.17573247346580276,0.17573247346580276,0.20958184549553704,0.1532203346895044,1.5903006110688254
