,dataset,preprocessing,clf_type,params,accuracy,dif_accuracy,balanced_accuracy,dif_balanced_accuracy,recall,dif_recall,precision,dif_precision,fpr,dif_fpr,selection_rate,dif_selection_rate,dif_statistical_parity,dif_equal_opp,dif_avg_odds,disparate_impacto_ratio
0,German,sem pré-processamento,Decision Tree,"{'criterion': 'gini', 'max_depth': 3, 'splitter': 'best', 'random_state': 42}",0.694,0.03800867099025451,0.5680952380952381,0.023894157976884156,0.8828571428571428,0.017614616883375067,0.7362854990411835,0.05317587448566885,0.7466666666666667,0.06540293283714338,0.8420000000000001,0.04308545724562668,0.04308545724562668,0.017614616883375067,0.04150877486025921,0.9467390310782664
1,German,sem pré-processamento,Decision Tree,"{'criterion': 'gini', 'max_depth': 3, 'splitter': 'random', 'random_state': 42}",0.703,0.03711421660742803,0.5621428571428572,0.026710828381770746,0.9142857142857144,0.02217933118613069,0.7301770512351804,0.06358728750198805,0.79,0.05160098794967216,0.877,0.016701738799803023,0.016701738799803023,0.02217933118613069,0.024890159567901412,1.0042434879095496
2,German,sem pré-processamento,Decision Tree,"{'criterion': 'gini', 'max_depth': 7, 'splitter': 'best', 'random_state': 42}",0.692,0.04952796061311987,0.6114285714285714,0.04511192383770185,0.812857142857143,0.0724397789176508,0.762822910074219,0.042135863282866726,0.59,0.12025296827928408,0.746,0.10417124659630372,0.10417124659630372,0.0724397789176508,0.09634637359846744,0.8667734065035414
3,German,sem pré-processamento,Decision Tree,"{'criterion': 'gini', 'max_depth': 7, 'splitter': 'random', 'random_state': 42}",0.672,0.007735031133673409,0.5971428571428572,0.03528587904499603,0.7842857142857143,0.03729269553461373,0.7562030546294116,0.04625961836056203,0.5900000000000001,0.06337165514797094,0.726,0.031097957247305297,0.031097957247305297,0.03729269553461373,0.03903947980667863,1.0012584659727972
4,German,sem pré-processamento,Decision Tree,"{'criterion': 'gini', 'max_depth': 11, 'splitter': 'best', 'random_state': 42}",0.677,0.05524333790061714,0.6254761904761905,0.022688902931722044,0.7542857142857142,0.08783359179291422,0.7776683614152597,0.05892456456056161,0.5033333333333333,0.07052986000354419,0.679,0.10041086417279455,0.10041086417279455,0.08783359179291422,0.07918172589822921,0.8590985460820171
5,German,sem pré-processamento,Decision Tree,"{'criterion': 'gini', 'max_depth': 11, 'splitter': 'random', 'random_state': 42}",0.679,0.05361695648528558,0.6145238095238095,0.023661963217300352,0.7757142857142858,0.055113245059445704,0.7680672268907562,0.0766216415163784,0.5466666666666666,0.015780059365585686,0.707,0.04306571346832133,0.04306571346832133,0.055113245059445704,0.035446652212515695,0.9413148255253518
6,German,sem pré-processamento,Decision Tree,"{'criterion': 'gini', 'max_depth': 15, 'splitter': 'best', 'random_state': 42}",0.653,0.039674506387102126,0.5997619047619047,0.03604723329287063,0.7328571428571429,0.06472786194282076,0.762223340928762,0.0560969535719521,0.5333333333333333,0.07417043239411661,0.673,0.0822978523694346,0.0822978523694346,0.06472786194282076,0.0694491471684687,0.8822795461799611
7,German,sem pré-processamento,Decision Tree,"{'criterion': 'gini', 'max_depth': 15, 'splitter': 'random', 'random_state': 42}",0.674,0.03239008493410961,0.6147619047619047,0.01037935761315506,0.7628571428571429,0.028423833949660082,0.7709068167604753,0.06907509164078246,0.5333333333333333,0.014654771398192462,0.694,0.02799069741031024,0.02799069741031024,0.028423833949660082,0.02153930267392626,0.9695268499616326
8,German,sem pré-processamento,Decision Tree,"{'criterion': 'entropy', 'max_depth': 3, 'splitter': 'best', 'random_state': 42}",0.705,0.06328830465139107,0.5283333333333333,0.007692769087995266,0.97,0.008614616883375115,0.712532276969446,0.06942307074769094,0.9133333333333333,0.02200015505936559,0.9530000000000001,0.015816483444860918,0.015816483444860918,0.008614616883375115,0.014307385971370346,0.9833484170826395
9,German,sem pré-processamento,Decision Tree,"{'criterion': 'entropy', 'max_depth': 3, 'splitter': 'random', 'random_state': 42}",0.701,0.043482464683230915,0.5483333333333333,0.021320608636904714,0.9299999999999999,0.003868861584953698,0.7237889830928652,0.06016954022988502,0.8333333333333333,0.04251007885876307,0.901,0.020833850918539676,0.020833850918539676,0.003868861584953698,0.02118947022185838,0.976430179016386
10,German,sem pré-processamento,Decision Tree,"{'criterion': 'entropy', 'max_depth': 7, 'splitter': 'best', 'random_state': 42}",0.702,0.035585113233318644,0.5833333333333334,0.03519935587539946,0.88,0.04084253847071451,0.7421844600990772,0.045480063526530945,0.7133333333333334,0.11124125022151338,0.83,0.0759122833746439,0.0759122833746439,0.04084253847071451,0.07604189434611393,0.9113437525232753
11,German,sem pré-processamento,Decision Tree,"{'criterion': 'entropy', 'max_depth': 7, 'splitter': 'random', 'random_state': 42}",0.685,0.06743795871198749,0.5988095238095238,0.01795812123486712,0.8142857142857143,0.06790941985764848,0.7545007032348805,0.0736956472914902,0.6166666666666667,0.03199317738791424,0.755,0.07073330621522583,0.07073330621522583,0.06790941985764848,0.04995129862278136,0.9081544187784776
12,German,sem pré-processamento,Decision Tree,"{'criterion': 'entropy', 'max_depth': 11, 'splitter': 'best', 'random_state': 42}",0.6990000000000001,0.045367764600860505,0.6326190476190476,0.021640999696302288,0.7985714285714286,0.052621734462602876,0.7775107003287637,0.058245512934779364,0.5333333333333334,0.04562677210703528,0.7190000000000001,0.0698950056306556,0.0698950056306556,0.052621734462602876,0.04912425328481908,0.9059066918018843
13,German,sem pré-processamento,Decision Tree,"{'criterion': 'entropy', 'max_depth': 11, 'splitter': 'random', 'random_state': 42}",0.6839999999999999,0.028378668089986847,0.6238095238095238,0.023603498859186278,0.7742857142857142,0.024491908226967285,0.7743818681318682,0.05444106049905839,0.5266666666666666,0.035155280878965106,0.7,0.04230431485438879,0.04230431485438879,0.024491908226967285,0.026823594552966193,0.9411512745728847
14,German,sem pré-processamento,Decision Tree,"{'criterion': 'entropy', 'max_depth': 15, 'splitter': 'best', 'random_state': 42}",0.69,0.06032131879860064,0.6414285714285715,0.029822609257068255,0.7628571428571429,0.093145373573502,0.7875619248282647,0.058816406102488616,0.48,0.06250941431862483,0.6779999999999999,0.10384092091982933,0.10384092091982933,0.093145373573502,0.0778273939460634,0.8537418414918415
15,German,sem pré-processamento,Decision Tree,"{'criterion': 'entropy', 'max_depth': 15, 'splitter': 'random', 'random_state': 42}",0.667,0.012677964259158014,0.6078571428571429,0.03138089431697344,0.7557142857142857,0.03521106207006236,0.7659869232458734,0.04652357597540874,0.54,0.02986554137869929,0.6910000000000001,0.022959139708702836,0.022959139708702836,0.03521106207006236,0.024327239654318433,1.0012256398551447
16,German,sem pré-processamento,KNN,"{'n_neighbors': 1, 'weights': 'uniform'}",0.597,0.033196328808978326,0.5188095238095238,0.018121349546442678,0.7142857142857143,0.03205964451866872,0.7112128276107685,0.06607737714500533,0.6766666666666667,0.05407086213007267,0.703,0.04186371834913305,0.04186371834913305,0.03205964451866872,0.043065253324370695,0.9415567221920487
17,German,sem pré-processamento,KNN,"{'n_neighbors': 1, 'weights': 'distance'}",0.597,0.033196328808978326,0.5188095238095238,0.018121349546442678,0.7142857142857143,0.03205964451866872,0.7112128276107685,0.06607737714500533,0.6766666666666667,0.05407086213007267,0.703,0.04186371834913305,0.04186371834913305,0.03205964451866872,0.043065253324370695,0.9415567221920487
18,German,sem pré-processamento,KNN,"{'n_neighbors': 3, 'weights': 'uniform'}",0.637,0.03479815430346417,0.5311904761904762,0.01079069718692438,0.7957142857142857,0.013538908107678216,0.716762086513995,0.06596239216679783,0.7333333333333334,0.028042486266170452,0.777,0.018046123008147508,0.018046123008147508,0.013538908107678216,0.01725178907924608,0.9771443879162575
19,German,sem pré-processamento,KNN,"{'n_neighbors': 3, 'weights': 'distance'}",0.623,0.03332589857156332,0.5202380952380953,0.012658901753364926,0.7771428571428571,0.009596445186687341,0.7111015419947506,0.06594379201172818,0.7366666666666666,0.03308246943115367,0.765,0.019380790603401143,0.019380790603401143,0.009596445186687341,0.020743012122233152,0.9748740065904244
20,German,sem pré-processamento,KNN,"{'n_neighbors': 5, 'weights': 'uniform'}",0.659,0.062115898619460874,0.5402380952380952,0.015061215563270558,0.8371428571428572,0.02284516282953597,0.7208194637777643,0.07971880494066141,0.7566666666666666,0.007277268297005146,0.813,0.018943235260952707,0.018943235260952707,0.02284516282953597,0.008637349030030834,0.9768064617136115
21,German,sem pré-processamento,KNN,"{'n_neighbors': 5, 'weights': 'distance'}",0.643,0.0669286408801128,0.5278571428571428,0.01844015765188861,0.8157142857142857,0.03453338104894821,0.7146236761295983,0.08265688643409513,0.76,0.013921008328903084,0.799,0.026529294181196317,0.026529294181196317,0.03453338104894821,0.016093223397059604,0.9673039882953209
22,German,sem pré-processamento,KNN,"{'n_neighbors': 7, 'weights': 'uniform'}",0.67,0.06404517089757039,0.530952380952381,0.023773180430492924,0.8785714285714286,0.016181040995665863,0.7151105245793468,0.08508137376993141,0.8166666666666667,0.05736531986531984,0.86,0.02055775977842117,0.02055775977842117,0.016181040995665863,0.03359213943482702,1.0242471675120077
23,German,sem pré-processamento,KNN,"{'n_neighbors': 7, 'weights': 'distance'}",0.648,0.050744518062033894,0.519047619047619,0.007226960547460415,0.8414285714285714,0.010211062070062393,0.7095355914877799,0.07731167073468398,0.8033333333333333,0.020664983164983164,0.83,0.008050886806431845,0.008050886806431845,0.010211062070062393,0.013438022617522784,1.0099211315517103
24,German,sem pré-processamento,Logistic Regression,"{'C': 0.75, 'class_weight': None, 'n_jobs': -1, 'random_state': 42}",0.753,0.01647419715204368,0.6683333333333333,0.01964351617337806,0.88,0.03408203109467578,0.7909776617348419,0.04733808883459273,0.5433333333333333,0.031369063441431894,0.779,0.030412512164091687,0.030412512164091687,0.03408203109467578,0.022887584305090844,0.9616330862072955
25,German,sem pré-processamento,Logistic Regression,"{'C': 0.75, 'class_weight': 'balanced', 'n_jobs': -1, 'random_state': 42}",0.704,0.03153647222070399,0.7047619047619048,0.04160346372171564,0.7028571428571428,0.012111654538947858,0.848665182875302,0.015988626838652042,0.29333333333333333,0.07109527290448342,0.5800000000000001,0.045622682309400975,0.045622682309400975,0.012111654538947858,0.02949180918276781,0.9228401612597473
26,German,sem pré-processamento,Logistic Regression,"{'C': 1, 'class_weight': None, 'n_jobs': -1, 'random_state': 42}",0.752,0.014519719873262005,0.6514285714285715,0.015277488925176552,0.9028571428571428,0.03845636009384068,0.7786965364417326,0.05666813773893015,0.6,0.00790138224348752,0.812,0.011929351398702104,0.011929351398702104,0.03845636009384068,0.0231788711686641,1.0067509453026164
