,dataset,preprocessing,clf_type,params,accuracy,dif_accuracy,balanced_accuracy,dif_balanced_accuracy,recall,dif_recall,precision,dif_precision,fpr,dif_fpr,selection_rate,dif_selection_rate,dif_statistical_parity,dif_equal_opp,dif_avg_odds,disparate_impacto_ratio
0,German,sem pré-processamento,Decision Tree,"{'criterion': 'gini', 'splitter': 'best'}",0.681,0.07025544509528917,0.6302380952380954,0.06989317449467825,0.7571428571428571,0.09320408163265306,0.782159380919593,0.09644732395643198,0.4966666666666667,0.15466507177033492,0.679,0.08382837391618639,0.08382837391618639,0.09320408163265306,0.09906376330436481,0.9851460865290063
1,German,sem pré-processamento,Decision Tree,"{'criterion': 'gini', 'splitter': 'random'}",0.664,0.09454597687602391,0.6133333333333333,0.11520165673925073,0.74,0.06972108843537414,0.7716848681863614,0.10732718484898066,0.5133333333333333,0.20612440191387563,0.6719999999999999,0.06786709950459847,0.06786709950459847,0.06972108843537414,0.09092274517462487,0.9871890674616758
2,German,sem pré-processamento,Decision Tree,"{'criterion': 'entropy', 'splitter': 'best'}",0.7050000000000001,0.08933610400682011,0.6492857142857142,0.12226626631513848,0.7885714285714285,0.06984353741496599,0.7895810661033503,0.08053653783837889,0.49000000000000005,0.194688995215311,0.6990000000000001,0.07748089944252598,0.07748089944252598,0.06984353741496599,0.09380550401978974,0.9674596848290546
3,German,sem pré-processamento,Decision Tree,"{'criterion': 'entropy', 'splitter': 'random'}",0.6859999999999999,0.083692045191148,0.628095238095238,0.09468268072779354,0.7728571428571428,0.1129251700680272,0.7775592589501161,0.10107609636647182,0.5166666666666667,0.16679425837320577,0.696,0.09747034367744294,0.09747034367744294,0.1129251700680272,0.09428076685219541,0.9509846228166141
4,German,sem pré-processamento,KNN,{'n_neighbors': 1},0.612,0.05281554592383938,0.5333333333333333,0.06426764964358951,0.7299999999999999,0.06516326530612244,0.72047686984797,0.06765190693479628,0.6633333333333333,0.13413875598086128,0.7100000000000001,0.058976265120353887,0.058976265120353887,0.06516326530612244,0.0761725417439703,0.9673940182091029
5,German,sem pré-processamento,KNN,{'n_neighbors': 3},0.623,0.05476647426151384,0.5164285714285715,0.04507331640790289,0.7828571428571428,0.04236054421768708,0.7090881048443785,0.0731974966899168,0.75,0.07842105263157893,0.773,0.041589670229943324,0.041589670229943324,0.04236054421768708,0.04795539172606841,0.9677348830175838
6,German,sem pré-processamento,KNN,{'n_neighbors': 5},0.6609999999999999,0.08166480792878161,0.5407142857142857,0.06472741919734401,0.8414285714285714,0.06108163265306121,0.7210872113359972,0.09248475807531026,0.76,0.07889952153110048,0.8170000000000002,0.040626053366648186,0.040626053366648186,0.06108163265306121,0.035593447905477985,1.0051552323382134
7,German,sem pré-processamento,KNN,{'n_neighbors': 7},0.6700000000000002,0.0851537546996358,0.529047619047619,0.0755023923444976,0.8814285714285713,0.045999999999999985,0.7146281387460812,0.0871276898038812,0.8233333333333333,0.1210047846889952,0.8639999999999999,0.03405480354834781,0.03405480354834781,0.045999999999999985,0.05006698564593302,0.974951180416826
8,German,sem pré-processamento,Logistic Regression,"{'C': 0.75, 'class_weight': None, 'n_jobs': -1}",0.748,0.08810640525494912,0.6666666666666667,0.11494204667512942,0.8699999999999999,0.052367346938775504,0.7920684018620883,0.07835804302644891,0.5366666666666667,0.19351674641148325,0.7699999999999999,0.06250803161376753,0.06250803161376753,0.052367346938775504,0.07957469973635388,0.9312827838315538
9,German,sem pré-processamento,Logistic Regression,"{'C': 0.75, 'class_weight': 'balanced', 'n_jobs': -1}",0.7210000000000001,0.0642207124785398,0.7273809523809525,0.08359694691273642,0.7114285714285714,0.08052380952380953,0.8667993591912904,0.0922247789657412,0.25666666666666665,0.17485645933014354,0.5750000000000001,0.0801152122840721,0.0801152122840721,0.08052380952380953,0.09769013442697652,0.9484860651528487
10,German,sem pré-processamento,Logistic Regression,"{'C': 1, 'class_weight': None, 'n_jobs': -1}",0.748,0.07282301279558107,0.6695238095238095,0.09328527487550045,0.8657142857142857,0.06432653061224489,0.794173709852377,0.07923894721263142,0.5266666666666666,0.17007177033492824,0.7639999999999999,0.06839863469932152,0.06839863469932152,0.06432653061224489,0.08108793086612635,0.948628847901768
11,German,sem pré-processamento,Logistic Regression,"{'C': 1, 'class_weight': 'balanced', 'n_jobs': -1}",0.726,0.05980069762827992,0.729047619047619,0.08003123067408784,0.7214285714285714,0.0794829931972789,0.865500905554231,0.0900491849811825,0.2633333333333333,0.17868421052631578,0.5840000000000001,0.08734027622269105,0.08734027622269105,0.0794829931972789,0.10308360186179735,0.9580895876307011
12,German,sem pré-processamento,Logistic Regression,"{'C': 1.25, 'class_weight': None, 'n_jobs': -1}",0.759,0.0946870347016787,0.6821428571428572,0.12264412655014159,0.8742857142857143,0.07732653061224488,0.8008113886794442,0.0904543142975898,0.51,0.21196172248803827,0.7649999999999999,0.07973837957342825,0.07973837957342825,0.07732653061224488,0.09931759593789669,0.9297993202017836
13,German,sem pré-processamento,Logistic Regression,"{'C': 1.25, 'class_weight': 'balanced', 'n_jobs': -1}",0.7200000000000001,0.05578012726829863,0.7266666666666668,0.06291400579370507,0.71,0.07448299319727893,0.8662420149768139,0.07449984800721512,0.25666666666666665,0.1394497607655502,0.5740000000000001,0.08088866331946523,0.08088866331946523,0.07448299319727893,0.08296637698141458,0.9414789672584728
14,German,sem pré-processamento,MLP,"{'hidden_layer_sizes': 5, 'max_iter': 5000}",0.74,0.07432694536440101,0.62,0.07089120528594213,0.9199999999999999,0.05352380952380953,0.7629527321225196,0.06985237872971108,0.6799999999999999,0.12504784688995213,0.8480000000000001,0.0631396587386708,0.0631396587386708,0.05352380952380953,0.06510879471405787,0.9712360026374913
15,German,sem pré-processamento,MLP,"{'hidden_layer_sizes': 8, 'max_iter': 5000}",0.655,0.06785841720980118,0.5735714285714286,0.03391643068710741,0.7771428571428572,0.06164625850340137,0.6772858342665173,0.06790288214297702,0.63,0.10916267942583732,0.7329999999999999,0.06598325515339377,0.06598325515339377,0.06164625850340137,0.08340446896461937,0.990745067778456
16,German,sem pré-processamento,MLP,"{'hidden_layer_sizes': 15, 'max_iter': 5000}",0.6939999999999998,0.04088506861370074,0.5795238095238096,0.04384210526315789,0.8657142857142859,0.04400000000000001,0.7594554532809077,0.05046468341242179,0.7066666666666667,0.07655502392344497,0.818,0.0459534834270314,0.0459534834270314,0.04400000000000001,0.04249282296650717,0.9582503898269012
17,German,sem pré-processamento,MLP,"{'hidden_layer_sizes': (10, 5), 'max_iter': 5000}",0.701,0.08985509701776925,0.5330952380952381,0.05021291866028708,0.9528571428571428,0.018000000000000016,0.716897273860357,0.08869161307392107,0.8866666666666667,0.08442583732057418,0.9329999999999998,0.023902139046361882,0.023902139046361882,0.018000000000000016,0.03421291866028708,0.9803501714406752
